,Dimension,Region,Delar Code,Sale_Dim,Segment,Sold Customer Id,Dealer City,date,Sales_Value,Qty,Sale Qty,Value,Year,Month
0,Potential,EAST,3924035BA,Non OTC Sales,1623C,CUS001,"MOUZA-GOSSAIPUR, PO-GOSSAIPUR,SILCH",01/07/2003,232000,2500,4000,932000,2003,7
1,Potential,EAST,4101034B,Non OTC Sales,1617R,CUS002,"MOUZA - PANBARI NH 37,KAMRUP",01/08/2003,260000,1500,3000,960000,2003,8
2,Potential,NORTH,4101039B,Non OTC Sales,1014R,CUS003,"RAMPUR ROAD, VILLAGE JAUHARPUR, BAR",01/09/2003,252000,1500,3000,952000,2003,9
3,Potential,NORTH,4108029B,Non OTC Sales,3723R,CUS004,BILASPUR,01/10/2003,71000,2500,4000,771000,2003,10
4,Potential,NORTH,3908029BA,Non OTC Sales,1414R,CUS005,"DEONGHAT,SOLAN",01/11/2003,9000,2500,4000,709000,2003,11
5,Potential,NORTH,3908029BB,Non OTC Sales,3123R,CUS006,"DISTT.-KANGRA ,",01/12/2003,-52000,2500,4000,648000,2003,12
6,Potential,SOUTH,3911012BI,Non OTC Sales,2523C,CUS007,"KARATHODE,MALAPPURAM",01/01/2004,1000,3500,5000,701000,2004,1
7,Potential,SOUTH,3911012BJ,Non OTC Sales,3128C,CUS008,IDUKKI,01/02/2004,73000,1500,3000,773000,2004,2
8,Potential,SOUTH,3911012BD,Non OTC Sales,1217C,CUS009,PALAKKAD,01/03/2004,95000,1500,3000,795000,2004,3
9,Potential,SOUTH,4111012B,Non OTC Sales,5528T,CUS010,"NEDUMBASSERY, KOCHI",01/04/2004,306000,1500,3000,1006000,2004,4
10,Potential,SOUTH,3911012BG,Non OTC Sales,2823R,CUS011,"PAMBADY, KOTTAYAM DISTRICT,",01/05/2004,307000,1500,3000,1007000,2004,5
11,Potential,SOUTH,3911012BA,Non OTC Sales,4023T,CUS012,TRIVANDRUM,01/06/2004,371000,1500,3000,1071000,2004,6
12,Potential,SOUTH,3911012BB,Non OTC Sales,2528C,CUS013,Malappuram,01/07/2004,259000,2500,4000,959000,2004,7
13,Potential,SOUTH,3911012BC,Non OTC Sales,3128CM,CUS014,ALUVA,01/08/2004,128000,2500,4000,828000,2004,8
14,Potential,SOUTH,3911012BE,Non OTC Sales,1214R,CUS015,"PANDALAM P.O.,PATHANAMTHITTA DISTRI",01/09/2004,133000,2500,4000,833000,2004,9
15,Potential,SOUTH,3911012BF,Non OTC Sales,2523R,CUS016,"KOOTHUPARAMBA,KANNUR,",01/10/2004,100000,2500,4000,800000,2004,10
16,Potential,SOUTH,3911012BH,Non OTC Sales,4928T,CUS010,WAYANAD,01/11/2004,104000,2500,4000,804000,2004,11
17,Potential,EAST,4134013B,Non OTC Sales,3523R,CUS011,"SARAIKELA-KHARSAWAN, JAMSHEDPUR",01/12/2004,-25000,4500,6000,675000,2004,12
18,Potential,EAST,3934013BA,Non OTC Sales,3528CM,CUS012,DHANBAD,01/01/2005,57000,4500,6000,757000,2005,1
19,Potential,EAST,3934013BB,Non OTC Sales,914R,CUS013,"RANCHI RAMGARH ROAD,RANCHI",01/02/2005,11000,1500,3000,711000,2005,2
20,Potential,NORTH,4107023B,Non OTC Sales,4223R,CUS006,REWARI,01/03/2005,193000,2500,4000,893000,2005,3
21,Potential,NORTH,3907023BA,Non OTC Sales,1623C,CUS015,KARNAL,01/04/2005,311000,2500,4000,1011000,2005,4
22,Potential,NORTH,3907023BB,Non OTC Sales,1617R,CUS007,HISSAR,01/05/2005,352000,2500,4000,1052000,2005,5
23,Potential,NORTH,3907023BC,Non OTC Sales,1014R,CUS008,"VILLAGE SIRASPUR,  OUTER DELHI,ALIP",01/06/2005,441000,2500,4000,1141000,2005,6
24,Potential,NORTH,3907023BD,Non OTC Sales,3723R,CUS009,"CHARKHI DADARI, BHIWANI",01/07/2005,263000,2500,4000,963000,2005,7
25,Potential,WEST,4112028B,Non OTC Sales,1414R,,JABALPUR,01/08/2005,144000,3500,5000,844000,2005,8
26,Potential,WEST,3912028BA,Non OTC Sales,3123R,,SATNA,01/09/2005,212000,3500,5000,912000,2005,9
27,Potential,WEST,3912028BB,Non OTC Sales,2523C,,"NAUGADH,SINGRAULI",01/10/2005,119000,3500,5000,819000,2005,10
28,Potential,WEST,3912028BC,Non OTC Sales,3128C,,"GRAM - LINGA, TEH. MOHKHED, CHHINDW",01/11/2005,105000,3500,5000,805000,2005,11
29,Potential,EAST,4101040B,Non OTC Sales,1217C,,MUZAFFARPUR,01/12/2005,4000,5500,7000,704000,2005,12
30,Potential,NORTH,4119021B,Non OTC Sales,5528T,CUS010,LUDHIANA,01/01/2006,48000,5500,7000,748000,2006,1
31,Potential,NORTH,3919021BA,Non OTC Sales,2823R,CUS011,BATHINDA,01/02/2006,59000,2500,4000,759000,2006,2
32,Potential,NORTH,3919021BB,Non OTC Sales,4023T,CUS012,PATHANKOT,01/03/2006,163000,2500,4000,863000,2006,3
33,Potential,NORTH,3919021BC,Non OTC Sales,2528C,CUS013,ROPAR,01/04/2006,287000,2500,4000,987000,2006,4
34,Potential,NORTH,3919021BD,Non OTC Sales,3128CM,CUS014,"TEHSIL JANDIALA GURU , AMRITSAR",01/05/2006,309000,3500,5000,1009000,2006,5
35,Potential,NORTH,3919021BE,Non OTC Sales,1214R,CUS015,"TEH AND DISTT MOGA,",01/06/2006,438000,3500,5000,1138000,2006,6
36,Potential,SOUTH,3901031BC,Non OTC Sales,2523R,CUS016,"MANDAL: RAMAGUNDAM, DST: PEDDAPALLY",01/07/2006,198000,3500,5000,898000,2006,7
37,Potential,WEST,3933031BD,Non OTC Sales,4928T,CUS010,RAIGARH,01/08/2006,144000,3500,5000,844000,2006,8
38,Potential,EAST,3934031BK,Non OTC Sales,3523R,CUS011,"G T ROAD, NH2, GOBINDPUR",01/09/2006,172000,3500,5000,872000,2006,9
39,Potential,EAST,3934031BL,Non OTC Sales,3528CM,CUS012,ALTO PORVORIM,01/10/2006,156000,3500,5000,856000,2006,10
40,Potential,EAST,3934031BM,Non OTC Sales,914R,CUS013,UTTARKASHI,01/11/2006,20000,4500,6000,720000,2006,11
41,Potential,EAST,3918031BJ,Non OTC Sales,4223R,CUS006,SAMBALPUR,01/12/2006,-8000,4500,6000,692000,2006,12
42,Potential,SOUTH,3922018BA,Non OTC Sales,1623C,CUS015,TRICHY,01/01/2007,75000,5500,7000,775000,2007,1
43,Potential,SOUTH,3922018BB,Non OTC Sales,1617R,CUS007,TIRUNELVELI,01/02/2007,81000,2500,4000,781000,2007,2
44,Potential,SOUTH,3922018BC,Non OTC Sales,1014R,CUS008,"MELAARASADI, TUTICORIN",01/03/2007,243000,3500,5000,943000,2007,3
45,Potential,SOUTH,3922018BD,Non OTC Sales,3723R,CUS009,"VALLAM,THANJAVUR",01/04/2007,277000,3500,5000,977000,2007,4
46,Potential,SOUTH,4122018B,Non OTC Sales,1414R,,MADURAI,01/05/2007,302000,3500,5000,1002000,2007,5
47,Potential,NORTH,3920016BD,Non OTC Sales,3123R,,"SURATGARH,SRI GANGANAGAR",01/06/2007,464000,3500,5000,1164000,2007,6
48,Potential,NORTH,3920016BE,Non OTC Sales,2523C,,"BALOTRA, BARMER,",01/07/2007,271000,3500,5000,971000,2007,7
49,Potential,NORTH,3920016BA,Non OTC Sales,3128C,,"KARANPUR, UDAIPUR",01/08/2007,230000,4500,6000,930000,2007,8
50,Potential,NORTH,3920016BB,Non OTC Sales,1217C,,"JAGPURA, KOTA",01/09/2007,260000,3500,5000,960000,2007,9
51,Potential,NORTH,3920016BC,Non OTC Sales,5528T,,"NASIRABAD, DIST AJMER",01/10/2007,105000,4500,6000,805000,2007,10
52,Potential,NORTH,4120016B,Non OTC Sales,2823R,,JAIPUR,01/11/2007,61000,4500,6000,761000,2007,11
53,Potential,WEST,4112020B,Non OTC Sales,4023T,,INDORE,01/12/2007,-1000,5500,7000,699000,2007,12
54,Potential,WEST,3912020BA,Non OTC Sales,2528C,,BHOPAL,01/01/2008,36000,6500,8000,736000,2008,1
55,Potential,WEST,4106002B,Non OTC Sales,3128CM,,CHACHARWADI,01/02/2008,226000,3500,5000,926000,2008,2
56,Potential,WEST,3906002BA,Non OTC Sales,1214R,,SURAT,01/03/2008,242000,3500,5000,942000,2008,3
57,Potential,WEST,3906002BB,Non OTC Sales,2523R,,VALSAD,01/04/2008,235000,4500,6000,935000,2008,4
58,Potential,WEST,3906002BC,Non OTC Sales,4928T,,VADODARA,01/05/2008,385000,4500,6000,1085000,2008,5
59,Potential,WEST,3906002BD,Non OTC Sales,3523R,CUS003,"SANDUR, TORANAGALLU R.S,DIST BELLAR",01/06/2008,394000,4500,6000,1094000,2008,6
60,Potential,WEST,3913006BB,Non OTC Sales,3528CM,CUS004,SOLAPUR,01/07/2008,351000,4500,6000,1051000,2008,7
61,Potential,WEST,4113006B,Non OTC Sales,914R,CUS005,PUNE,01/08/2008,225000,4500,6000,925000,2008,8
62,Potential,WEST,3913006BA,Non OTC Sales,4223R,CUS006,KOLHAPUR,01/09/2008,271000,4500,6000,971000,2008,9
63,Potential,WEST,3913006BC,Non OTC Sales,1623C,CUS007,BARAMATI,01/10/2008,114000,5500,7000,814000,2008,10
64,Potential,WEST,3913006BD,Non OTC Sales,1617R,CUS008,RATNAGIRI,01/11/2008,91000,5500,7000,791000,2008,11
65,Potential,WEST,3913006BE,Non OTC Sales,1014R,CUS009,NASHIK,01/12/2008,21000,7500,9000,721000,2008,12
66,Potential,WEST,3913006BG,Non OTC Sales,3723R,CUS010,"MORMUGAO TALUKA, DIST. SOUTH GOA,",01/01/2009,87000,7500,9000,787000,2009,1
67,Potential,WEST,3913006BH,Non OTC Sales,1414R,CUS011,AHMEDNAGAR-MANMAD ROAD,01/02/2009,171000,3500,5000,871000,2009,2
68,Potential,SOUTH,4122001B,Non OTC Sales,3123R,CUS012,CHENNAI,01/03/2009,214000,4500,6000,914000,2009,3
69,Potential,SOUTH,3922001BA,Non OTC Sales,2523C,CUS013,VELLORE,01/04/2009,399000,4500,6000,1099000,2009,4
70,Potential,SOUTH,3922001BB,Non OTC Sales,3128C,,"TRICHY MAIN ROAD, VILLUPURAM",01/05/2009,463000,4500,6000,1163000,2009,5
71,Potential,SOUTH,3922001BC,Non OTC Sales,1217C,,"MARAI MALAI NAGAR, CHENGALPATTU TAL",01/06/2009,430000,5500,7000,1130000,2009,6
72,Potential,NORTH,4101041B,Non OTC Sales,5528T,,"JAMMU BYPASS,JAMMU",01/07/2009,300000,5500,7000,1000000,2009,7
73,Potential,WEST,3924037BA,Non OTC Sales,2823R,,"JHANSI ROAD , GWALIOR",01/08/2009,148000,5500,7000,848000,2009,8
74,Potential,WEST,4101037B,Non OTC Sales,4023T,,BHOPAL,01/09/2009,243000,5500,7000,943000,2009,9
75,Potential,NORTH,3920030BA,Non OTC Sales,2528C,,BIKANER,01/10/2009,171000,6500,8000,871000,2009,10
76,Potential,NORTH,3920030BB,Non OTC Sales,3128CM,,HANUMANGARH,01/11/2009,203000,5500,7000,903000,2009,11
77,Potential,NORTH,3920030BC,Non OTC Sales,1214R,,DIST. JODHPUR,01/12/2009,24000,8500,10000,724000,2009,12
78,Potential,NORTH,3920030BD,Non OTC Sales,2523R,,"N.H. 15, TEHSIL SANCHORE, JALORE",01/01/2010,149000,7500,9000,849000,2010,1
79,Potential,EAST,4125015B,Non OTC Sales,4928T,,KOLKATA,01/02/2010,227000,4500,6000,927000,2010,2
80,Potential,EAST,3925015BA,Non OTC Sales,3523R,,BARDHAMAN,01/03/2010,222000,5500,7000,922000,2010,3
81,Potential,EAST,3925015BB,Non OTC Sales,3528CM,,"P.S. : GARBETA,DIST:- PASCHIM MIDHN",01/04/2010,449000,5500,7000,1149000,2010,4
82,Potential,SOUTH,3925015BC,Non OTC Sales,914R,,"PO SEARSOLE RAJBARI  ,RANIGANJ",01/05/2010,425000,5500,7000,1125000,2010,5
83,Potential,NORTH,4101036B,Non OTC Sales,4223R,,UTTARAKHAND,01/06/2010,483000,5500,7000,1183000,2010,6
84,Potential,SOUTH,3922017BB,Non OTC Sales,1623C,,"HOSUR TALUK,  KRISHNAGIRI",01/07/2010,360000,6500,8000,1060000,2010,7
85,Potential,SOUTH,3922017BA,Non OTC Sales,1617R,CUS001,COIMBATORE,01/08/2010,212000,5500,7000,912000,2010,8
86,Potential,SOUTH,3922017BC,Non OTC Sales,1014R,CUS002,"AANDANKOIL EAST, MELAKARUR , KARUR",01/09/2010,266000,6500,8000,966000,2010,9
87,Potential,SOUTH,3922017BD,OTC,3723R,CUS003,"DIST:TIRUPUR,TIRUPUR",01/10/2010,263000,6500,8000,963000,2010,10
88,Potential,SOUTH,4122017B,OTC,1414R,CUS004,"SALEM,INDIA",01/11/2010,182000,7500,9000,882000,2010,11
89,Potential,WEST,4113019B,OTC,3123R,CUS005,"KALAMESHWAR ,NAGPUR",01/12/2010,2000,9500,11000,702000,2010,12
90,Potential,WEST,3913019BC,OTC,2523C,CUS006,"TRANSPORT NAGAR, DHULE",01/01/2011,165000,8500,10000,865000,2011,1
91,Potential,WEST,3913019BA,OTC,3128C,CUS007,CHANDRAPUR,01/02/2011,182000,4500,6000,882000,2011,2
92,Potential,WEST,3913019BB,OTC,1217C,CUS008,NANDED,01/03/2011,328000,6500,8000,1028000,2011,3
93,Potential,WEST,3913019BD,OTC,5528T,CUS009,"GAT NO.12 , AURANGABAD",01/04/2011,491000,5500,7000,1191000,2011,4
94,Potential,NORTH,3924027BB,OTC,2823R,CUS010,VARANASI,01/05/2011,492000,6500,8000,1192000,2011,5
95,Potential,NORTH,4124027B,OTC,4023T,CUS011,SONBHADRA,01/06/2011,551000,6500,8000,1251000,2011,6
96,Potential,NORTH,3924027BA,OTC,2528C,CUS012,GORAKHPUR (UP),01/07/2011,361000,7500,9000,1061000,2011,7
97,Potential,NORTH,3924027BC,OTC,3128CM,CUS013,FAIZABAD,01/08/2011,321000,7500,9000,1021000,2011,8
98,Potential,NORTH,3924027BD,OTC,1214R,CUS014,"NAINI ARAIL,ALLAHABAD",01/09/2011,352000,7500,9000,1052000,2011,9
99,Potential,SOUTH,3910011BE,OTC,2523R,CUS015,VIJAYAPUR,01/10/2011,310000,7500,9000,1010000,2011,10
100,Potential,SOUTH,3910011BA,OTC,4928T,CUS016,BELGAUM,01/11/2011,143000,8500,10000,843000,2011,11
101,Potential,SOUTH,3910011BB,OTC,3523R,CUS010,KOPPAL,01/12/2011,175000,10500,12000,875000,2011,12
102,Potential,SOUTH,3910011BC,OTC,3528CM,CUS011,UTTARA KANNADA,01/01/2012,227000,11500,13000,927000,2012,1
103,Potential,SOUTH,3910011BD,OTC,914R,CUS012,"HUMNABAD ROAD , GULBARGA",01/02/2012,244000,5500,7000,944000,2012,2
104,Potential,SOUTH,4110011B,OTC,4223R,CUS013,"HUBLI,KARNATAKA",01/03/2012,430000,7500,9000,1130000,2012,3
105,Potential,WEST,4133008B,OTC,1623C,CUS006,RAIPUR,01/04/2012,439000,6500,8000,1139000,2012,4
106,Potential,WEST,3933008BA,OTC,1617R,CUS015,KORBA,01/05/2012,529000,7500,9000,1229000,2012,5
107,Potential,WEST,3933008BB,OTC,1014R,CUS007,RAIGARH,01/06/2012,627000,8500,10000,1327000,2012,6
108,Potential,WEST,3933008BC,OTC,3723R,CUS008,BILASPUR,01/07/2012,369000,9500,11000,1069000,2012,7
109,Potential,WEST,3933008BD,OTC,1414R,CUS009,"JAGDALPUR,",01/08/2012,266000,9500,11000,966000,2012,8
110,Potential,WEST,4106005B,OTC,3123R,,RAJKOT,01/09/2012,573000,8500,10000,1273000,2012,9
111,Potential,WEST,3906005BA,OTC,2523C,,JUNAGADH,01/10/2012,282000,10500,12000,982000,2012,10
112,Potential,WEST,3906005BB,OTC,3128C,,KACHCHH,01/11/2012,302000,9500,11000,1002000,2012,11
113,Potential,WEST,3906005BC,OTC,1217C,,BHAVNAGAR,01/12/2012,194000,10500,12000,894000,2012,12
114,Potential,EAST,4118007B,OTC,5528T,,"CHANDIKHOL,JAJPUR",01/01/2013,253000,12500,14000,953000,2013,1
115,Potential,EAST,3918007BA,OTC,2823R,,"BERHAMPUR,GANJAM",01/02/2013,342000,6500,8000,1042000,2013,2
116,Potential,EAST,3918007BB,OTC,4023T,,BALASORE,01/03/2013,364000,8500,10000,1064000,2013,3
117,Potential,EAST,3918007BC,OTC,2528C,CUS007,SAMBALPUR,01/04/2013,462000,8500,10000,1162000,2013,4
118,Potential,EAST,3918007BD,OTC,3128CM,CUS008,KEONJHAR,01/05/2013,659000,9500,11000,1359000,2013,5
119,Potential,EAST,3918007BE,OTC,1214R,CUS009,ROURKELA,01/06/2013,640000,8500,10000,1340000,2013,6
120,Potential,EAST,3918007BG,OTC,2523R,CUS010,ANGUL,01/07/2013,346000,9500,11000,1046000,2013,7
121,Potential,NORTH,4124022B,OTC,4928T,CUS011,KANPUR,01/08/2013,371000,10500,12000,1071000,2013,8
122,Potential,NORTH,3924022BA,OTC,3523R,CUS012,LUCKNOW,01/09/2013,535000,9500,11000,1235000,2013,9
123,Potential,NORTH,3924022BB,OTC,3528CM,CUS013,JHANSI,01/10/2013,288000,11500,13000,988000,2013,10
124,Potential,NORTH,3924022BC,OTC,914R,CUS014,"VIVEK NAGAR ,  KANPUR SAGAR ROAD,KA",01/11/2013,286000,12500,14000,986000,2013,11
125,Potential,NORTH,3924022BD,OTC,4223R,CUS015,"PARGANA, TAHSIL LAKHIMPUR KHIRI",01/12/2013,206000,11500,13000,906000,2013,12
126,Potential,NORTH,4101033B,OTC,1623C,CUS016,GAZIABAD,01/01/2014,191000,14500,16000,891000,2014,1
127,Potential,NORTH,3924033BA,OTC,1617R,,"ETMADPUR, NH-2, AGRA",01/02/2014,352000,7500,9000,1052000,2014,2
128,Potential,SOUTH,4101010B,OTC,1014R,,HYDERABAD,01/03/2014,440000,8500,10000,1140000,2014,3
129,Potential,SOUTH,3901010BA,OTC,3723R,,MEDAK,01/04/2014,521000,9500,11000,1221000,2014,4
130,Potential,SOUTH,3901010BB,OTC,1414R,,NALGONDA,01/05/2014,680000,10500,12000,1380000,2014,5
131,Potential,SOUTH,3901010BC,OTC,3123R,,ANANTHAPUR,01/06/2014,722000,9500,11000,1422000,2014,6
132,Potential,SOUTH,3901010BD,OTC,2523C,,"RAMPUR, KARIMNAGAR",01/07/2014,464000,11500,13000,1164000,2014,7
133,Potential,SOUTH,3901010BE,OTC,3128C,,"UYYALAWADA,NAGARKURNOOL",01/08/2014,426000,10500,12000,1126000,2014,8
134,Potential,SOUTH,3901010BF,OTC,1623C,,"DICHIPALLY (M) ,NIZAMABAD",01/09/2014,538000,11500,13000,1238000,2014,9
135,Potential,EAST,4101038B,OTC,1617R,CUS002,KOLKATA,01/10/2014,336000,12500,14000,1036000,2014,10
136,Potential,EAST,3924038BA,OTC,1014R,CUS003,JALPAIGURI,01/11/2014,439000,11500,13000,1139000,2014,11
137,Potential,SOUTH,3910003BF,OTC,3723R,CUS004,CHIKBALLAPUR,01/12/2014,286000,13500,15000,986000,2014,12
138,Potential,SOUTH,3910003BC,OTC,1414R,CUS005,BENGALURU,01/01/2015,250000,15500,17000,950000,2015,1
139,Potential,SOUTH,3910003BA,OTC,3123R,CUS006,KASABA HOBLI,01/02/2015,460000,8500,10000,1160000,2015,2
140,Potential,SOUTH,3910003BB,OTC,2523C,CUS007,MANGALORE,01/03/2015,439000,9500,11000,1139000,2015,3
141,Potential,SOUTH,3910003BD,OTC,3128C,CUS008,SRIRANGAPATNA,01/04/2015,575000,9500,11000,1275000,2015,4
142,Potential,SOUTH,4110003B,OTC,1217C,CUS009,BANGALORE,01/05/2015,614000,11500,13000,1314000,2015,5
143,Potential,SOUTH,4101009B,OTC,5528T,CUS010,VIJAYAWADA,01/06/2015,759000,10500,12000,1459000,2015,6
144,Potential,SOUTH,3901009BA,OTC,2823R,CUS011,VISAKHAPATNAM,01/07/2015,615000,11500,13000,1315000,2015,7
145,Potential,SOUTH,3901009BB,OTC,4023T,,NELLORE,01/08/2015,610000,11500,13000,1310000,2015,8
146,Potential,SOUTH,3901009BC,OTC,2528C,,"ROAD NO:6,AUTO NAGAR,RAJAHMUNDRY",01/09/2015,605000,11500,13000,1305000,2015,9
147,Potential,SOUTH,3901009BD,OTC,3128CM,,"REDDYGUNTA(P) , CHITTOOR",01/10/2015,489000,13500,15000,1189000,2015,10
148,Potential,WEST,3913004BA,OTC,1214R,,VASAI (M CL),01/11/2015,443000,12500,14000,1143000,2015,11
149,Potential,WEST,4113004B,OTC,2523R,,"KOLKHE,PANVEL, RAIGARH DIST",01/12/2015,157000,15500,17000,857000,2015,12
